NSGA_2,NSGA_3,IBEA,MOCell,SPEA_2
0.527,0.512,0.551,0.67,0.494
0.561,0.518,0.49,0.62,0.576
0.57,0.504,0.493,0.545,0.471
0.57,0.539,0.444,0.648,0.508
0.555,0.492,0.481,0.606,0.555
0.496,0.535,0.454,0.595,0.521
0.547,0.488,0.524,0.576,0.491
0.505,0.491,0.421,0.603,0.528
0.567,0.474,0.424,0.551,0.515
0.529,0.525,0.449,0.649,0.501
0.473,0.547,0.509,0.57,0.498
0.529,0.514,0.468,0.696,0.507
0.536,0.46,0.452,0.54,0.482
0.544,0.431,0.497,0.7,0.545
0.521,0.475,0.47,0.645,0.541
0.505,0.488,0.4,0.54,0.558
0.51,0.496,0.486,0.617,0.558
0.538,0.472,0.518,0.601,0.514
0.52,0.54,0.444,0.582,0.514
0.546,0.496,0.47,0.582,0.524
0.493,0.557,0.52,0.635,0.438
0.536,0.526,0.464,0.696,0.516
0.529,0.522,0.418,0.566,0.526
0.512,0.513,0.486,0.633,0.5
0.532,0.461,0.423,0.585,0.487
0.538,0.504,0.466,0.688,0.529
0.541,0.49,0.562,0.623,0.504
0.551,0.52,0.475,0.568,0.527
0.514,0.449,0.526,0.65,0.49
0.499,0.539,0.486,0.698,0.494
